"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"920","1","Austria","Blue Danube","""Du bist Musik""","German","8","64",1980,"  Du bist Liszt, Chopin, Debussy, Couperin Du bist Mozart, Gesualdo und Boulez Du bist Gluck und Bach, Johann Strauß, Offenbach Du bist Schubert, Gershwin und Chavez Du bist Mahler, Schumann, Monteverdi Frank Martin, Tschaikowski, Josquin Du bist Palestrina und Puccini Strawinski und Rossini, De Falla und Messiaen Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik, Musik, Musik Du bist ein Ballett, ein Konzert, Menuett Ein Capriccio, eine Polka, ein Duett Du bist ein Chanson, Intermezzo, Passion Ein Refrain, eine Variation Eine Bagatelle, Ballade Eine Tarantella, eine Suite Humoreske, Walzer, Serenade Romanze und Kantate, Sonate und mein Lied Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik, Musik, Musik Du bist Musik, Musik, Musik Bist meine Harmonie, Melodie Bist meine Symphonie Du bist Musik, du bist Musik Du bist Musik "
"921","2","Turkey","Ajda Pekkan","""Pet'r Oil""","Turkish","15","23",1980,"  Sen gelmeden önce her yer karanlık Dünya ıssız, dünya durgundu bilmem niçin Her yerde aradım tatlı bir ışık Bir ateş bu gönlümü ısıtmak için Sen gelince sanki bir güneş doğdu Aydınlık günüm gecem artık çok güzel hayat Sanki her şey birden bambaşka oldu Sensiz ne kadar zormuş, meğer ne güçmüş hayat Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil Öyle gururlusun gidemem yanına Girmişsin kim bilir kaç aşığın kanına Dolardan, marktan başka laf çıkmaz dilinden Neler, neler çekiyorum senin elinden Nice zengin dilber düşmüş ardına Düş başka, gerçek başka, yar olmazsın sen bana Belki gideceksin bir gün gerçekten İşte senin ardından ağlıyorum şimdiden Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil Eninde pet'r oil, sonunda pet'r oil Artık dizginlerim senin elinde pet'r oil  ( Aman pet'r oil, canım petr'oil )   ( Artık sana, sana, sana muhtacım pet'r oil )  Aman pet'r oil, canım pet'r oil Artık sana, sana, sana muhtacım pet'r oil "
"922","3","Greece","Anna Vissi and the Epikouri","""Autostop"" (Ωτοστόπ)","Greek","13","30",1980,"  An thes ton kosmo na this mazi mu xekina  ( xekina )  Ke kane me otostop to yiro tis yis Boris na pas opu thes, Evropi i Kina  ( Kina )  Ke ""yia Athina"" na pis ke opu vrethis Ke ande, m' otostop, otostop Taksidi m' otostop, otostop, xekina yelasta Otostop, me otostop Ta sinora in' anikta ki emis mia sindrofia I thromi m' otostop, otostop Thiki mas m' otostop, otostop ki o kosmos mia stalia Otostop, me otostop, pandu tha pame Yia hara, me otostop, otostop Pekino, Vladivostok, Parisi, Londino Me mia mikri sak-voyage ton kosmo na this Stokholmi, Kairo, Madriti, Romi, Verolino Ruleta miazi na in' o yiros tis yis Ke ande, m' otostop, otostop Taksidi m' otostop, otostop, xekina yelasta Otostop, me otostop Ta sinora in' anikta ki emis mia sindrofia I thromi m' otostop, otostop Thiki mas m' otostop, otostop ki o kosmos mia stalia Otostop, me otostop, pandu tha pame Yia hara, me otostop, otostop Ke ande, m' otostop, hey, la la la la la la. . .  Otostop, me otostop, pandu tha pame, yia hara Me otostop, otostop, otostop, otostop Otostop "
"923","4","Luxembourg","Sophie & Magaly","""Papa pingouin""","French","9","56",1980,"  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin s'ennuie sur la banquise Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin voudrait faire sa valise On le sent nerveux, un peu malheureux Pas très bien dans ses plumes Pour se calmer les nerfs, il plonge dans la mer Il envie l'oiseau qui s'en va là-haut du côté de la lune Lui qui a des pieds de plomb, ça le rend grognon  ( Pa papapa papapa papapa. . .  )   ( Papapa papapa papapa papapa. . .  )  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin s'ennuie sur la banquise Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin voudrait faire sa valise Sur la neige bleue fait un pas douteux et glisse sur la glace On l'entend murmurer: ""Je veux m'en aller"" Très haut dans le ciel, plus près du soleil, en traversant l'espace ""J'ai des ailes d'un oiseau, je peux voler haut""  ( Pa papapa papapa papapa. . .  )   ( Papapa papapa papapa papapa. . .  )  Mais voyons papa, pourquoi dis-tu ça?  Tu sais bien que les ailes Celles des pingouins et des moulins ne servent plus à rien Mais pourquoi, papa, aller là-bas?  Ici la vie est belle Laisse le ciel aux anges et aux saints, viens, papa Papapa papapa papapa. . .  Papapa papapa papapa. . .  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin poursuit son joli rêve Voilà qu'il se prend pour un goéland, il fait de longs voyages Il descend vers le sud jusqu'en Angleterre Et voici Paris, Rome et Napoli, les rives de Carthage Et la Méditerranée, que c'est beau l'été  ( Pa papapa papapa papapa. . .  )   ( Papapa papapa papapa papapa. . .  )  Mais voyons papa, tu n'y penses pas?  Tu sais bien que les ailes Celles des pingouins et des moulins ne servent plus à rien Mais pourquoi, papa, aller là-bas?  Ici la vie est belle Si tu pars, tu n'iras pas loin, reste là Papapa papapa papapa. . .  Papapa papapa papapa papapa. . .  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin revient de ses chimères Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin redescend sur la terre  ( Le papa pingouin, le papa pingouin )   ( Le papa, le papa, le papa pingouin )   ( Le papa pingouin adore sa banquise )  Le papa pingouin, le papa pingouin Le papa, le papa, le papa pingouin Le papa pingouin va brûler sa valise  ( Le papa pingouin, le papa pingouin )  Le papa, le papa, le papa pingouin "
"924","5","Morocco","Samira Bensaïd","""Bitaqat Hub"" (بطاقة حب)","Arabic","18","7",1980,"  Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar Nahna atfal kull el-dunya Talbeen aisha radhia hanya Ma feehash heqd, ma feehash nar W la khissam beyn jar w jar Ma feehash shmeys beyn el-alwan W el-assl wahed, w el-kull ikhwan Ma bghina hroub w la alam Baghyin hayat kulha salam Ma feehash shmeys beyn el-alwan W el-assl wahed, w el-kull ikhwan Ma bghina hroub w la alam Baghyin hayat kulha salam Feeha el-aman w el-haq w el-kheir Feeha el-wafa' w el-hobb el-kbeer Bitaqet hobb w eshwaq harra Mesh mou men jbeen ghadra Ma'aha er-rajaa, kull er-rajaa Leylaqi aalam youlabbi en-nida' Nahna atfal kull ed-dunya Talbeen aisha radhia hanya La lalalala. . .  Lala lalalala. . .  Lala lalalala. . .  Lalalala lala lala. . .  La lalalala. . .  Lala lalalala. . .  Lala lalalala. . .  Lalalala lala lala. . .  "
"925","6","Italy","Alan Sorrenti","""Non so che darei""","Italian","6","87",1980,"  Se ti perdo, non so che farei Ricorderò sempre ogni piccolo istante Vissuto con te Le mie mani sono vuote ma Io non nascondo l'amore che sento da sempre per te In fondo all'anima, non so perché Io vorrei stringerti ancora una volta a me Non so che darei per fermare il tempo Per dormire al tuo fianco solo una notte Non so che darei per sentirti mia Per tenerti vicina solo una notte Poi le stelle e la luna spariranno e tu Con le ali di cigno volerai laggiù Le mie mani sono vuote ma Io non nascondo l'amore che sento da sempre per te In fondo all'anima, non so perché Io vorrei stringerti ancora una volta a me Non so che darei per fermare il tempo Per dormire al tuo fianco solo una notte Non so che darei per sentirti mia Per tenerti vicina solo una notte Non so che darei per fermare il tempo Per dormire al tuo fianco solo una notte Non so che darei per sentirti mia Per tenerti vicina solo una notte Non so che darei per fermare il tempo Per dormire al tuo fianco solo una notte Non so che darei per sentirti mia Per tenerti vicina solo una notte "
"926","7","Denmark","Bamses Venner","""Tænker altid på dig""","Danish","14","25",1980,"  Det er i dag, jeg skal af sted, min ven Jeg glæder mig til vi skal ses igen For det er her hos dig, jeg har det bedst Ja, det er dig, jeg elsker allermest Når jeg sådan må forlade dig Ved du så, at jeg. . .  Altid tænker på dig?  At du er lyset for mig, der altid viser vej Jeg ved, du drømmer om At vi en dag ka' hygge os og bare slappe af At vi ka' leve, li'som andre gør At vi ka' få det, som vi havde før Det er svært at lave om på mig Ka' det trøste lidt, at jeg. . .  Altid tænker på dig?  At du er lyset for mig, der altid viser vej Min ven, jeg håber på, at du trods alt Vil holde ud, vi har jo sammen valgt Det liv, der holder mig så længe væk Til tider op til flere døgn i træk Når jeg nu har sagt farvel til dig Håber jeg, du ved, at jeg. . .  Altid tænker på dig At du er lyset for mig, der altid viser vej Jeg tænker altid på dig For du er lyset for mig, der altid viser vej "
"927","8","Sweden","Tomas Ledin","""Just nu!""","Swedish","10","47",1980,"  Han är trött på stan, det händer ingenting Det mesta är sig likt här runt omkring Veckan kryper fram, helgen springer förbi Samma snack varje dag om att göra sig fri Just nu vill jag leva, just nu!  Just nu vill jag känna, just nu!  Känna luften i mina lungor, känna blodet som pulserar Känna ljuset i mina ögon, känna tiden som passerar Han vill dra iväg, kanske ner till Paris Och hitta äventyret på något vis Inte sitta här på stans konditori Och låta tankarna, bara fladdra förbi Just nu vill jag leva, just nu!  Just nu vill jag känna, just nu!  Känna luften i mina lungor, känna blodet som pulserar Känna ljuset i mina ögon, känna tiden som passerar Känna luften i mina lungor  ( just nu!  )  Känna blodet som pulserar  ( just nu!  )  Känna ljuset i mina ögon  ( just nu!  )  Känna tiden som passerar  ( just nu!  )  Just nu vill jag leva, just nu!  Just nu vill jag känna, just nu!  Känna luften i mina lungor  ( just nu!  )  Känna blodet som pulserar  ( just nu!  )  Känna ljuset i mina ögon  ( just nu!  )  Känna tiden som passerar  ( just nu!  )  Just nu vill jag leva, just nu!  Just nu vill jag känna, just nu!  Känna luften i mina lungor  ( just nu!  )  Känna blodet som pulserar  ( just nu!  )  Känna ljuset i mina ögon  ( just nu!  )  Känna tiden som passerar  ( just nu!  )  "
"928","9","Switzerland","Paola","""Cinéma""","French","4","104",1980,"  Toute petite, quelquefois il me prenait par la main Et heureuse, à petits pas, je marchais par les chemins Vers la ville aux mille lumières, au côté de mon papa Vers le monde extraordinaire et magique du cinéma Peter Pan, c'était le plus grand Pour tous les petits enfants Et Mickey était si gai quand il chantait dans les prés Alice aux Pays des Merveilles, le dimanche après-midi Était blonde, était belle Et le film jamais fini Cinéma, cinéma, tout le monde est fou de toi Cinéma, cinéma, des enfants tu est le roi Tes images et tes lumières Font vivre leurs fantaisies Comme un carrousel de rêves Tourne et tourne à l'infini Fred Astaire me rendait folle Quand ses pieds claquaient au sol Charlie Chaplin, Buster Keaton Et le monde de Walt Disney L'univers de mon enfance ne me quittera jamais Cinéma, cinéma, tout le monde est fou de toi Cinéma, cinéma, des enfants tu est le roi Tes images et tes lumières Font vivre leurs fantaisies Comme un carrousel de rêves Tourne et tourne à l'infini Cinéma, cinéma, tout le monde est fou de toi Cinéma, cinéma, des enfants tu est le roi Tes images et tes lumières Font vivre leurs fantaisies Comme un carrousel de rêves Tourne et tourne à l'infini "
"929","10","Finland","Vesa-Matti Loiri","""Huilumies""","Finnish","19","6",1980,"  On tässä huilu ja huilumies En täytä mittaa normien Sormien soutelun huoleni huilutan Jos en lausein tunteita tulkita voi Niille varmasti huilu soi Ja niistä sielun soinnut pienoisen lauluni loi On siinä aamun kastehelmien tuoksu On kevät lämmin vuoripuron juoksu Kaiken sen minkä aistin huiluni soi On siinä hiiltyvä ilta, auringon rusko Parempien päivien sammumaton usko On syksyn kuolevaa ruskaa, on elämä tuskaa Sen huiluni soi On tässä huilu ja huilumies Mä näen luonnon tauluna lauluna teille sen kaiken mä soinnutan Ja näin riemut, surut ja arkikin soi Jos en tuntea oikein voi On joka pettymys, nauru sykkivät sointuni loi On siinä päiväperhon leikkivä liito Sammuvan tähden öinen viime kiito Kaiken sen minkä aistin huiluni soi On siinä tuiskuvan talven hyytävä halla Ihmisen pienuus kaikkeuden alla On syksyn kuolevaa ruskaa, on elämä tuskaa Sen huiluni soi On siinä päiväperhon leikkivä liito Sammuvan tähden öinen viime kiito Kaiken sen minkä aistin huiluni soi On siinä tuiskuvan talven hyytävä halla Ihmisen pienuus kaikkeuden alla On syksyn kuolevaa ruskaa, on elämä tuskaa Sen huiluni soi "
"930","11","Norway","Sverre Kjelsberg & Mattis Hætta","""Sámiid ædnan""a","Norwegian","16","15",1980,"  Enkel tone, to små ord: Sámiid Ædnan, samisk jord Kom som vindpust ifra nord, ifra nord, Sámiid Ædnan Kan et krav få mjukar form: Sámiid Ædnan, Sameland Vokste sæ fra bris tel storm, bris tel storm, Sámiid Ædnan Framførr tinget der dem satt, Sámiid Ædnan, Sámiid Ædnan Hørtes joiken dag og natt, Sámiid Ædnan Framførr tinget der dem satt, oj. . .  Hørtes joiken dag og natt, Sámiid Ædnan Joik har større kraft enn krutt, Sámiid Ædnan Førr en joik tar aldri slutt, oh. . .  Sámiid Ædnan Førr en joik tar aldri slutt, Sámiid Ædnan "
"931","12","Germany","Katja Ebstein","""Theater""","German","2","128",1980,"  Sie setzen jeden Abend eine Maske auf Und sie spielen wie die Rolle es verlangt An das Theater haben sie ihr Herz verkauft Sie stehn oben und die unten schaun sie an Sie sind König, Bettler, Clown im Rampenlicht Doch wie's tief in ihnen aussieht, sieht man nicht Theater, Theater, der Vorhang geht auf Dann wird die Bühne zur Welt Theater, Theater, das ist wie ein Rausch Und nur der Augenblick zählt Wie ein brennendes Fieber, wie ein Stück Glückseligkeit Ein längst vergessner Traum erwacht zum Leben Theater, Theater, gehasst und geliebt Himmel und Hölle zugleich Und der Clown, der muss lachen, auch wenn ihm zum Weinen ist Und das Publikum sieht nicht, dass eine Träne fliesst Und der Held, der muss stark sein und kämpfen für das Recht Doch oft ist ihm vor Lampenfieber schlecht Alles ist nur Theater und ist doch auch Wirklichkeit Theater, das Tor zur Phantasie Theater, Theater, nur der bleibt dir treu Der dich vor Leidenschaft liebt Theater, Theater  ( Und der Clown, der muss lachen )  Ist Leben und Traum  ( Auch wenn ihm zum Weinen ist )  Anfang und Ende zugleich  ( Und das Publikum sieht nicht, dass eine Träne fliesst )  Theater, Theater  ( Und der Held, der muss stark sein )  Ihr schenkt uns Applaus  ( Und kämpfen für das Recht )  Wir geben alles für euch  ( Doch oft ist ihm vor Lampenfieber schlecht )  Und lachen und weinen für euch  ( Theater, Theater )  Ja, wir geben alles für euch "
"932","13","United Kingdom","Prima Donna","""Love Enough for Two""","English","3","106",1980,"  If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two It isn't every road that leads me home It isn't every day I'm on my own But when I'm feeling sad and all alone I think of you, yes, I do You've got a very special kind of style There's something in your eyes each time you smile So tell me you can stay for just a while And love me too If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough for two If there's a time in your life for me I've got a lifetime to spend with you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two It isn't every day you meet someone You wanna pin your wildest dreams upon It's true you haven't known me very long But I hope and pray that you'll stay There's something in the way you touch my soul It seemed that I was half, but now I'm whole You've got me under your complete control In every way If there's a place in your heart for me There's a room in my place for you 'Cause I've got love enough. . .  Yes, I've got love enough for two If there's a. . .  If there's a time in your life for me I've got a lifetime to spend with you 'Cause I've got love enough. . .  Yes, I've got love enough. . .  Love enough for two Oh, I've got love enough. . .  Oh, I've got love enough. . .  Love enough for two "
